"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 21 14:58:18 UTC 2025","Mon Jul 21 14:58:19 UTC 2025","1151","","tests.junit5.api.tests.swagger.FileTests","","tests.junit5.api.tests.swagger.FileTests","positiveDownloadTest","positiveDownloadTest()",""
"passed","Mon Jul 21 14:58:19 UTC 2025","Mon Jul 21 14:58:22 UTC 2025","3525","","tests.junit5.api.tests.swagger.GameTests","","tests.junit5.api.tests.swagger.GameTests","deleteGameSuccess","deleteGameSuccess()",""
"passed","Mon Jul 21 15:00:08 UTC 2025","Mon Jul 21 15:00:08 UTC 2025","42","","tests.junit5.properties.PropertiesReaderTests","","tests.junit5.properties.PropertiesReaderTests","ownerReaderTest","ownerReaderTest()",""
"passed","Mon Jul 21 14:59:29 UTC 2025","Mon Jul 21 14:59:30 UTC 2025","1206","","tests.junit5.api.tests.swagger.UserNewTests","","tests.junit5.api.tests.swagger.UserNewTests","positiveDeleteNewUserTest","positiveDeleteNewUserTest()",""
"passed","Mon Jul 21 14:58:07 UTC 2025","Mon Jul 21 14:58:07 UTC 2025","306","","tests.junit5.api.tests.petsapi.PetTestRefactor","","tests.junit5.api.tests.petsapi.PetTestRefactor","negativeGetNonExistentPet","negativeGetNonExistentPet()",""
"passed","Mon Jul 21 15:07:50 UTC 2025","Mon Jul 21 15:08:03 UTC 2025","12979","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","progressBarTest","progressBarTest()",""
"passed","Mon Jul 21 14:59:49 UTC 2025","Mon Jul 21 14:59:49 UTC 2025","361","","tests.junit5.api.tests.swagger.UserTests","","tests.junit5.api.tests.swagger.UserTests","negativeAuthTest","negativeAuthTest()",""
"failed","Mon Jul 21 14:58:00 UTC 2025","Mon Jul 21 14:58:00 UTC 2025","59","","tests.junit5.api.tests.fakeapi.SimpleApiTests","","tests.junit5.api.tests.fakeapi.SimpleApiTests","deleteUserTest","deleteUserTest()",""
"passed","Mon Jul 21 15:04:40 UTC 2025","Mon Jul 21 15:04:46 UTC 2025","5426","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","checkTotalSumTest","checkTotalSumTest(String, String, String, String, String) [17] А0, Черно-белая, В формат А3, 100, 14300",""
"passed","Mon Jul 21 15:04:30 UTC 2025","Mon Jul 21 15:04:35 UTC 2025","5314","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","checkTotalSumTest","checkTotalSumTest(String, String, String, String, String) [16] А0, Цветная, заливка до 100%, В формат А4, 1, 610",""
"passed","Mon Jul 21 15:10:18 UTC 2025","Mon Jul 21 15:10:22 UTC 2025","4207","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","selectReactMenuTest","selectReactMenuTest()",""
"passed","Mon Jul 21 14:59:30 UTC 2025","Mon Jul 21 14:59:30 UTC 2025","370","","tests.junit5.api.tests.swagger.UserNewTests","","tests.junit5.api.tests.swagger.UserNewTests","positiveGetAllUsersTest","positiveGetAllUsersTest()",""
"passed","Mon Jul 21 15:00:00 UTC 2025","Mon Jul 21 15:00:00 UTC 2025","379","","tests.junit5.api.tests.swagger.UserTests","","tests.junit5.api.tests.swagger.UserTests","negativeGetUserInfoWithoutJwtTest","negativeGetUserInfoWithoutJwtTest()",""
"passed","Mon Jul 21 14:58:00 UTC 2025","Mon Jul 21 14:58:00 UTC 2025","434","","tests.junit5.api.tests.fakeapi.SimpleApiTests","","tests.junit5.api.tests.fakeapi.SimpleApiTests","updateUserTest","updateUserTest()",""
"passed","Mon Jul 21 14:59:17 UTC 2025","Mon Jul 21 14:59:20 UTC 2025","2636","","tests.junit5.api.tests.swagger.GameTests","","tests.junit5.api.tests.swagger.GameTests","updateFieldSuccess","updateFieldSuccess()",""
"passed","Mon Jul 21 15:11:08 UTC 2025","Mon Jul 21 15:11:13 UTC 2025","4743","","tests.junit5.ui.base_tests.selenium.elements.SimpleSeleniumTests","","tests.junit5.ui.base_tests.selenium.elements.SimpleSeleniumTests","uploadTest","uploadTest()",""
"passed","Mon Jul 21 15:03:39 UTC 2025","Mon Jul 21 15:03:44 UTC 2025","5245","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","checkTotalSumTest","checkTotalSumTest(String, String, String, String, String) [11] А1, Черно-белая, Нет, 100, 6400",""
"passed","Mon Jul 21 15:10:28 UTC 2025","Mon Jul 21 15:10:30 UTC 2025","2026","","tests.junit5.ui.base_tests.selenium.elements.HerokuappAndMailTests","","tests.junit5.ui.base_tests.selenium.elements.HerokuappAndMailTests","basicAuthTest","basicAuthTest()",""
"broken","Mon Jul 21 14:57:57 UTC 2025","Mon Jul 21 14:57:58 UTC 2025","1241","","tests.junit5.api.tests.fakeapi.SimpleApiRefactoredTests","","tests.junit5.api.tests.fakeapi.SimpleApiRefactoredTests","getAllUsersSortByDescTest","getAllUsersSortByDescTest()",""
"passed","Mon Jul 21 15:08:26 UTC 2025","Mon Jul 21 15:08:30 UTC 2025","3947","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","checkBoxUseExpandAllTest","checkBoxUseExpandAllTest()",""
"broken","Mon Jul 21 15:10:30 UTC 2025","Mon Jul 21 15:11:03 UTC 2025","32940","","tests.junit5.ui.base_tests.selenium.elements.HerokuappAndMailTests","","tests.junit5.ui.base_tests.selenium.elements.HerokuappAndMailTests","iframeTest","iframeTest()",""
"passed","Mon Jul 21 15:00:00 UTC 2025","Mon Jul 21 15:00:02 UTC 2025","2004","","tests.junit5.api.tests.swagger.UserTests","","tests.junit5.api.tests.swagger.UserTests","positiveChangeUserPassTest","positiveChangeUserPassTest()",""
"passed","Mon Jul 21 14:59:36 UTC 2025","Mon Jul 21 14:59:37 UTC 2025","755","","tests.junit5.api.tests.swagger.UserNewTests","","tests.junit5.api.tests.swagger.UserNewTests","negativeChangeAdminPasswordTest","negativeChangeAdminPasswordTest()",""
"passed","Mon Jul 21 15:00:08 UTC 2025","Mon Jul 21 15:00:08 UTC 2025","7","","tests.junit5.properties.PropertiesReaderTests","","tests.junit5.properties.PropertiesReaderTests","jacksonReaderTest","jacksonReaderTest()",""
